      dNch/deta       Tch[MeV]      dVdy[fm3]        Vc[fm3]         gammaS           K/pi          Xi/pi         phi/pi           p/pi       Omega/pi          La/pi          K*/pi  omega(782)/pi         K*0/K-         f0/K*0
        797.424       0.158628        1913.82        5741.45              1       0.180989     0.00576095      0.0242669      0.0596319    0.000987526      0.0349838      0.0551121       0.108824       0.299581       0.208222
        851.557       0.158458        2043.74        6131.21              1       0.180933     0.00573528      0.0242214      0.0594319    0.000981516       0.034844      0.0550197       0.108698       0.299163       0.208364
        909.365       0.158287        2182.47        6547.42              1       0.180876     0.00570962      0.0241757      0.0592317    0.000975519      0.0347043      0.0549269       0.108571       0.298744       0.208506
        971.096       0.158116        2330.63        6991.89              1       0.180818     0.00568396      0.0241298      0.0590315    0.000969536      0.0345646      0.0548336       0.108444       0.298323       0.208648
        1037.02       0.157945        2488.85        7466.54              1        0.18076     0.00565831      0.0240836      0.0588312    0.000963567      0.0344249      0.0547398       0.108315       0.297901        0.20879
        1107.42       0.157775         2657.8         7973.4              1       0.180701     0.00563267      0.0240372      0.0586309    0.000957612      0.0342852      0.0546456       0.108186       0.297478       0.208933
        1182.59       0.157604        2838.22        8514.67              1       0.180641     0.00560704      0.0239906      0.0584305    0.000951671      0.0341455      0.0545509       0.108055       0.297053       0.209076
        1262.87       0.157433         3030.9        9092.69              1        0.18058     0.00558141      0.0239437        0.05823    0.000945745      0.0340059      0.0544557       0.107924       0.296626       0.209219
         1348.6       0.157262        3236.65        9709.94              1       0.180518      0.0055558      0.0238966      0.0580295    0.000939832      0.0338662      0.0543601       0.107792       0.296198       0.209363
        1440.15       0.157091        3456.36        10369.1              1       0.180456     0.00553019      0.0238493      0.0578289    0.000933935      0.0337266       0.054264       0.107659       0.295769       0.209506
        1537.92       0.156921           3691          11073              1       0.180392      0.0055046      0.0238017      0.0576282    0.000928051      0.0335869      0.0541674       0.107525       0.295338        0.20965
        1642.32        0.15675        3941.56        11824.7              1       0.180328     0.00547902      0.0237539      0.0574275    0.000922183      0.0334473      0.0540704        0.10739       0.294906       0.209794
        1753.81       0.156579        4209.13        12627.4              1       0.180263     0.00545344      0.0237059      0.0572268    0.000916329      0.0333078      0.0539729       0.107254       0.294473       0.209939
        1872.86       0.156408        4494.87        13484.6              1       0.180197     0.00542789      0.0236576       0.057026     0.00091049      0.0331682      0.0538749       0.107118       0.294038       0.210083
           2000       0.156238           4800          14400              1        0.18013     0.00540234      0.0236091      0.0568251    0.000904667      0.0330287      0.0537764        0.10698       0.293601       0.210228
